% MINI - Birds dataset
@RELATION Birds

@ATTRIBUTE Data STRING
@ATTRIBUTE Shape STRING
@ATTRIBUTE Label STRING

@DATA
'[104 115  36 ...  77  92  23]','(128, 128, 3)',scarlet_tanager
'[51 49 54 ... 39 40 42]','(128, 128, 3)',northern_parula
'[253 254 248 ...  23  27  10]','(128, 128, 3)',capped_heron
'[ 95 108  65 ...  75 110  77]','(128, 128, 3)',fairy_bluebird
'[141 162 179 ... 141 162 179]','(128, 128, 3)',common_loon
'[ 49  51  50 ... 167 192 246]','(128, 128, 3)',white_necked_raven
'[26 44 28 ... 44 77 58]','(128, 128, 3)',white_necked_raven
'[ 76 106 156 ... 166 176 185]','(128, 128, 3)',emperor_penguin
'[165 172 141 ... 111 111 123]','(128, 128, 3)',scarlet_tanager
'[  4  31  12 ... 172 171 140]','(128, 128, 3)',cuban_tody
'[103  96  77 ...  86 107  51]','(128, 128, 3)',cock_of_the_rock
'[193 180 161 ...  26  33  15]','(128, 128, 3)',vulturine_guineafowl
'[77 81 30 ... 36 53  9]','(128, 128, 3)',scarlet_tanager
'[110 110 136 ...  40  62  49]','(128, 128, 3)',purple_finch
'[ 86  79  60 ... 106  95  65]','(128, 128, 3)',horned_sungem
'[132 163 207 ...  79  86 115]','(128, 128, 3)',osprey
'[115 111 100 ...  79  58  57]','(128, 128, 3)',horned_lark
'[146 218 136 ... 232 233  53]','(128, 128, 3)',black_tail_crake
'[ 86 109  93 ...  70  73  66]','(128, 128, 3)',horned_sungem
'[ 85  70  47 ...  99 140 162]','(128, 128, 3)',blue_heron
'[41 42 47 ... 26 52 27]','(128, 128, 3)',northern_parula
'[55 55 47 ... 62 70 81]','(128, 128, 3)',capped_heron
'[153 113  88 ... 167 109  71]','(128, 128, 3)',vulturine_guineafowl
'[ 91 117  18 ... 191 202 185]','(128, 128, 3)',cock_of_the_rock
'[ 80 107 126 ...  82 109 128]','(128, 128, 3)',blue_heron
'[136 119 101 ... 151 151 123]','(128, 128, 3)',fairy_bluebird
'[91 90 59 ... 70 73 42]','(128, 128, 3)',american_redstart
'[97 95 74 ... 36 26 17]','(128, 128, 3)',capped_heron
'[ 68  93  89 ... 158 160 159]','(128, 128, 3)',cock_of_the_rock
'[162 164 140 ... 157 161 138]','(128, 128, 3)',cuban_tody
'[192 204 218 ... 203 208 214]','(128, 128, 3)',emperor_penguin
'[61 59 64 ... 31 29 30]','(128, 128, 3)',capped_heron
'[113 104  89 ... 207 207 109]','(128, 128, 3)',townsends_warbler
'[201 177 143 ... 192 153 122]','(128, 128, 3)',horned_lark
'[82 56 33 ... 90 80 53]','(128, 128, 3)',capped_heron
'[ 94 135 179 ... 203 212 227]','(128, 128, 3)',horned_lark
'[117 108  67 ... 110  89  70]','(128, 128, 3)',horned_sungem
'[159 185 220 ... 162 189 219]','(128, 128, 3)',osprey
'[ 92 125 158 ...  90 126 162]','(128, 128, 3)',osprey
'[ 45  32  23 ... 130 110 101]','(128, 128, 3)',blue_heron
'[65 57  8 ... 67 35  0]','(128, 128, 3)',cock_of_the_rock
'[158 168  81 ... 189 191  55]','(128, 128, 3)',scarlet_tanager
'[ 0 67 10 ...  1 44  1]','(128, 128, 3)',purple_finch
'[163 135 121 ...  44  44  34]','(128, 128, 3)',northern_parula
'[134 151 161 ... 154 159 165]','(128, 128, 3)',double_brested_cormarant
'[205 200 197 ... 172 173 175]','(128, 128, 3)',emperor_penguin
'[ 62  71  70 ... 149 138 132]','(128, 128, 3)',common_loon
'[112 152 188 ...  99 147 185]','(128, 128, 3)',osprey
'[196 219 131 ...  62  64  43]','(128, 128, 3)',american_redstart
'[109 102  48 ... 118 134  59]','(128, 128, 3)',cock_of_the_rock
'[187 191 203 ... 157 176 144]','(128, 128, 3)',black_tail_crake
'[108 126  40 ... 201 140  93]','(128, 128, 3)',townsends_warbler
'[148 152 138 ...  57  50  34]','(128, 128, 3)',purple_finch
'[188 205 212 ... 111 143 168]','(128, 128, 3)',emperor_penguin
'[146 145 101 ... 178 169 138]','(128, 128, 3)',horned_lark
'[126 149  97 ... 128 160  95]','(128, 128, 3)',cuban_tody
'[152 148  85 ... 111 103  66]','(128, 128, 3)',common_loon
'[115 140  56 ... 102 103  35]','(128, 128, 3)',scarlet_tanager
'[154 156 134 ... 165 157 146]','(128, 128, 3)',vulturine_guineafowl
'[114 117  64 ...  64  89  21]','(128, 128, 3)',black_tail_crake
'[202 202 202 ...  32  36  22]','(128, 128, 3)',capped_heron
'[113 107  49 ... 160 154 118]','(128, 128, 3)',cock_of_the_rock
'[214 213 218 ... 115 144 174]','(128, 128, 3)',horned_lark
'[ 55  59  44 ... 157 146 160]','(128, 128, 3)',cock_of_the_rock
'[ 99 112  30 ...  35  27   6]','(128, 128, 3)',northern_parula
'[114 126  18 ... 108 119  43]','(128, 128, 3)',northern_parula
'[ 49  93  34 ... 122 139  95]','(128, 128, 3)',vulturine_guineafowl
'[169 190 211 ... 161 173 185]','(128, 128, 3)',horned_lark
'[170 213 159 ...  23  47  13]','(128, 128, 3)',townsends_warbler
'[109 163 223 ... 115 163 225]','(128, 128, 3)',double_brested_cormarant
'[ 76 104 105 ... 142 156 165]','(128, 128, 3)',common_loon
'[134 162 184 ... 144 178 215]','(128, 128, 3)',common_loon
'[159 147 125 ... 108 109  65]','(128, 128, 3)',cuban_tody
'[ 86 156 241 ...  38  42  45]','(128, 128, 3)',downy_woodpecker
'[134 168  55 ...  81  81  79]','(128, 128, 3)',black_tail_crake
'[ 96  96  58 ... 106 106  94]','(128, 128, 3)',common_loon
'[67 67 41 ... 35 43 45]','(128, 128, 3)',osprey
'[179 214 234 ... 183 216 225]','(128, 128, 3)',white_necked_raven
'[83 76 58 ... 53 61 37]','(128, 128, 3)',fairy_bluebird
'[ 59  88 130 ...  54  76 113]','(128, 128, 3)',downy_woodpecker
'[ 94 100  66 ... 195 194 190]','(128, 128, 3)',blue_heron
'[112  94  80 ... 159 138 111]','(128, 128, 3)',fairy_bluebird
'[185 197 135 ... 177 187 153]','(128, 128, 3)',scarlet_tanager
'[135 164 196 ... 204 204 202]','(128, 128, 3)',emperor_penguin
'[203 214 244 ... 207 221 248]','(128, 128, 3)',emperor_penguin
'[ 69 138 207 ... 108 162 209]','(128, 128, 3)',double_brested_cormarant
'[136 125 107 ... 121 105  54]','(128, 128, 3)',northern_parula
'[164 137 107 ... 196 170 135]','(128, 128, 3)',purple_finch
'[124 120 121 ... 130 119 123]','(128, 128, 3)',horned_lark
'[118  94  56 ... 140 109  63]','(128, 128, 3)',vulturine_guineafowl
'[147 168 169 ... 185 196 202]','(128, 128, 3)',horned_lark
'[141 155 156 ... 147 200 118]','(128, 128, 3)',american_redstart
'[213 202 170 ... 174 189 130]','(128, 128, 3)',northern_parula
'[101 133  57 ... 109 130  51]','(128, 128, 3)',american_redstart
'[130 101  83 ... 133 131  57]','(128, 128, 3)',horned_sungem
'[221 223 222 ... 209 212 205]','(128, 128, 3)',american_redstart
'[63 80 25 ... 35 43 20]','(128, 128, 3)',townsends_warbler
'[78 92 59 ... 58 42 17]','(128, 128, 3)',fairy_bluebird
'[ 83  79   5 ... 171 157 120]','(128, 128, 3)',american_redstart
'[169 164 126 ... 123 113  86]','(128, 128, 3)',double_brested_cormarant
'[219 222 227 ...  94  87  77]','(128, 128, 3)',osprey
'[ 64 107  62 ... 234 223 217]','(128, 128, 3)',townsends_warbler
'[222 218 206 ... 114  96  76]','(128, 128, 3)',horned_lark
'[ 40  83   3 ... 140 139 121]','(128, 128, 3)',capped_heron
'[43 82 29 ... 23 46 28]','(128, 128, 3)',scarlet_tanager
'[163 164 148 ... 152 146 134]','(128, 128, 3)',horned_lark
'[130 129  99 ... 185 192 218]','(128, 128, 3)',cuban_tody
'[195 195 193 ... 197 196 201]','(128, 128, 3)',american_redstart
'[ 96  97  65 ... 136 122  96]','(128, 128, 3)',common_loon
'[174 172 124 ... 170 165 136]','(128, 128, 3)',cuban_tody
'[ 88 122 183 ... 195 198 215]','(128, 128, 3)',emperor_penguin
'[113 105  92 ... 130 118  60]','(128, 128, 3)',capped_heron
'[117 116  68 ... 127 155 106]','(128, 128, 3)',fairy_bluebird
'[138 165 112 ... 180 203 161]','(128, 128, 3)',black_tail_crake
'[119 102  92 ... 139 128 132]','(128, 128, 3)',cuban_tody
'[109 114  56 ...  77 117  31]','(128, 128, 3)',fairy_bluebird
'[ 92 122 184 ...  86 126 188]','(128, 128, 3)',osprey
'[112 121  40 ... 211 199 141]','(128, 128, 3)',northern_parula
'[187 175 163 ... 118 121 140]','(128, 128, 3)',downy_woodpecker
'[154 121  86 ... 121  99  39]','(128, 128, 3)',blue_heron
'[204 175 143 ... 180 130  57]','(128, 128, 3)',white_necked_raven
'[150 152  89 ... 239 251 249]','(128, 128, 3)',american_redstart
'[137 160 131 ... 113 122  79]','(128, 128, 3)',black_tail_crake
'[122 132  69 ... 124 142  94]','(128, 128, 3)',cuban_tody
'[14 11 18 ... 17 14 21]','(128, 128, 3)',scarlet_tanager
'[47 94 24 ... 44 51 33]','(128, 128, 3)',capped_heron
'[110 110  86 ...  80  78  63]','(128, 128, 3)',scarlet_tanager
'[36 32 31 ... 77 67 58]','(128, 128, 3)',capped_heron
'[115 150 118 ...  66  86  75]','(128, 128, 3)',cock_of_the_rock
'[171 164 154 ... 151 144 136]','(128, 128, 3)',white_necked_raven
'[224 249 254 ... 166 121  92]','(128, 128, 3)',double_brested_cormarant
'[149 156 174 ...  58  61  80]','(128, 128, 3)',blue_heron
'[ 95 114  68 ... 112 102  92]','(128, 128, 3)',capped_heron
'[116 145 187 ... 110 139 181]','(128, 128, 3)',osprey
'[70 88 40 ... 46 59 33]','(128, 128, 3)',townsends_warbler
'[ 98 118  46 ...  71  78  45]','(128, 128, 3)',horned_sungem
'[161 174 157 ...  68  60  58]','(128, 128, 3)',northern_parula
'[ 65 115 178 ...  85 125 174]','(128, 128, 3)',emperor_penguin
'[55 62 31 ... 72 71 67]','(128, 128, 3)',townsends_warbler
'[ 30  64  14 ... 144 109  79]','(128, 128, 3)',fairy_bluebird
'[163 143 170 ... 131 137  93]','(128, 128, 3)',capped_heron
'[ 37  43   5 ... 144 147 138]','(128, 128, 3)',black_tail_crake
'[ 87 105 115 ... 104 108 109]','(128, 128, 3)',cuban_tody
'[ 31  14  20 ... 162  97  79]','(128, 128, 3)',white_necked_raven
'[109 130 113 ... 122 144 121]','(128, 128, 3)',purple_finch
'[201 211 221 ... 185 201 198]','(128, 128, 3)',cuban_tody
'[202 197 193 ... 228 219 224]','(128, 128, 3)',fairy_bluebird
'[155 161 147 ... 199 199 187]','(128, 128, 3)',townsends_warbler
'[167 151 162 ... 159 145 145]','(128, 128, 3)',vulturine_guineafowl
'[130 135  77 ... 112 111  93]','(128, 128, 3)',common_loon
'[189 191 212 ... 206 199 183]','(128, 128, 3)',horned_lark
'[255 255 255 ... 251 251 251]','(128, 128, 3)',capped_heron
'[ 52  72  44 ... 106 146  84]','(128, 128, 3)',purple_finch
'[117 171 119 ...  85 115  77]','(128, 128, 3)',vulturine_guineafowl
'[ 91 101  76 ... 161 151 150]','(128, 128, 3)',american_redstart
'[ 51  73  37 ... 141 162  71]','(128, 128, 3)',northern_parula
'[114 148   2 ... 215 218 199]','(128, 128, 3)',cock_of_the_rock
'[ 76 101  80 ... 152 150 161]','(128, 128, 3)',townsends_warbler
'[171 162 145 ...  23  27  28]','(128, 128, 3)',blue_heron
'[11 12  7 ... 39 36 29]','(128, 128, 3)',capped_heron
'[34 53  7 ... 13  5  3]','(128, 128, 3)',purple_finch
'[217 213 188 ... 136 100  74]','(128, 128, 3)',downy_woodpecker
'[55 99  1 ... 58 84 37]','(128, 128, 3)',northern_parula
'[105 153 202 ... 115 159 208]','(128, 128, 3)',blue_heron
'[115 142  29 ... 183 194 240]','(128, 128, 3)',downy_woodpecker
'[171 179 190 ... 137 150 169]','(128, 128, 3)',common_loon
'[ 88  66  45 ... 172 149 107]','(128, 128, 3)',vulturine_guineafowl
'[ 96 139 182 ...  89  88  94]','(128, 128, 3)',common_loon
'[192 185 179 ... 213 200 184]','(128, 128, 3)',horned_lark
'[148 147 143 ... 156 154 157]','(128, 128, 3)',osprey
'[ 94 181 130 ...  47 160  42]','(128, 128, 3)',vulturine_guineafowl
'[ 26  25  21 ...  99 113 100]','(128, 128, 3)',townsends_warbler
'[ 77 114 159 ...  91 123 184]','(128, 128, 3)',osprey
'[126 130  95 ...  53  80  73]','(128, 128, 3)',fairy_bluebird
'[196 180 155 ... 164 153 157]','(128, 128, 3)',white_necked_raven
'[163 126  81 ... 240 195 130]','(128, 128, 3)',vulturine_guineafowl
'[33 46 26 ... 68 65 32]','(128, 128, 3)',townsends_warbler
'[26 28 17 ... 50 62 52]','(128, 128, 3)',cock_of_the_rock
'[156 111  70 ... 158 132 117]','(128, 128, 3)',townsends_warbler
'[ 59  72  62 ... 108 115  82]','(128, 128, 3)',white_necked_raven
'[75 78 49 ... 30 68 31]','(128, 128, 3)',vulturine_guineafowl
'[ 46  45  25 ... 100 108  48]','(128, 128, 3)',cuban_tody
'[50 47 40 ... 66 90 94]','(128, 128, 3)',black_tail_crake
'[109 127 105 ...  43  64  47]','(128, 128, 3)',common_loon
'[163 186 204 ... 166 112  76]','(128, 128, 3)',blue_heron
'[133 166 149 ... 123 170 128]','(128, 128, 3)',cock_of_the_rock
'[242 243 201 ... 242 246 223]','(128, 128, 3)',american_redstart
'[ 96 110 145 ... 166 137 121]','(128, 128, 3)',double_brested_cormarant
'[ 97 114  59 ...  63  77  28]','(128, 128, 3)',horned_sungem
'[100  98  47 ... 114  89  84]','(128, 128, 3)',purple_finch
'[200 182 158 ... 193 176 160]','(128, 128, 3)',purple_finch
'[196 228 181 ... 196 218 195]','(128, 128, 3)',downy_woodpecker
'[107  94  78 ... 140 139 144]','(128, 128, 3)',purple_finch
'[ 97 131 158 ...  45  25  18]','(128, 128, 3)',american_redstart
'[141  75  49 ...  70  69  49]','(128, 128, 3)',capped_heron
'[164 163 145 ...  97  97  99]','(128, 128, 3)',horned_sungem
'[171 156 137 ... 159 144 125]','(128, 128, 3)',horned_lark
'[212 213 215 ... 158 161 166]','(128, 128, 3)',horned_sungem
'[153 152 121 ... 148 152 101]','(128, 128, 3)',cuban_tody
'[ 83  94  52 ... 134 131 140]','(128, 128, 3)',downy_woodpecker
'[140 156 169 ... 181 184 193]','(128, 128, 3)',horned_lark
'[139 146  92 ...  92 128  80]','(128, 128, 3)',townsends_warbler
'[178 187 170 ... 178 172 146]','(128, 128, 3)',cuban_tody
'[177 190 121 ... 135 147  83]','(128, 128, 3)',white_necked_raven
'[134 128 106 ... 107 102  80]','(128, 128, 3)',purple_finch
'[198 207 214 ... 175 176 180]','(128, 128, 3)',double_brested_cormarant
'[132 134 120 ... 123 145 106]','(128, 128, 3)',black_tail_crake
'[ 83  87  64 ... 125 127 116]','(128, 128, 3)',purple_finch
'[ 19  18  14 ... 138 161  83]','(128, 128, 3)',scarlet_tanager
'[161 160 132 ...  76  99  83]','(128, 128, 3)',townsends_warbler
'[126 126  72 ... 119 121  48]','(128, 128, 3)',horned_sungem
'[238 238 236 ... 199 190 207]','(128, 128, 3)',fairy_bluebird
'[128 156 167 ... 155 149 137]','(128, 128, 3)',blue_heron
'[164 149 144 ... 168 169 164]','(128, 128, 3)',purple_finch
'[110 145  43 ... 152 163 133]','(128, 128, 3)',townsends_warbler
'[1 1 1 ... 1 1 1]','(128, 128, 3)',vulturine_guineafowl
'[137 153  65 ... 112 114  49]','(128, 128, 3)',scarlet_tanager
'[95 71 45 ... 35 29 29]','(128, 128, 3)',townsends_warbler
'[83 99 50 ... 86 78 57]','(128, 128, 3)',downy_woodpecker
'[ 98 102  69 ... 119 119  93]','(128, 128, 3)',downy_woodpecker
'[82 77 39 ... 80 82 32]','(128, 128, 3)',cuban_tody
'[35 62 19 ... 42 50 37]','(128, 128, 3)',cock_of_the_rock
'[157 187 239 ... 148 183 237]','(128, 128, 3)',osprey
'[ 69  81  61 ... 155 156 176]','(128, 128, 3)',blue_heron
'[160 111  70 ... 101  59  19]','(128, 128, 3)',american_redstart
'[153 155 133 ... 159 172 165]','(128, 128, 3)',double_brested_cormarant
'[56 66 42 ... 42 55  1]','(128, 128, 3)',cuban_tody
'[ 72  48  20 ...  77 113  25]','(128, 128, 3)',cock_of_the_rock
'[ 91 131 166 ...  80 113 130]','(128, 128, 3)',common_loon
'[171 178 184 ... 154 171 181]','(128, 128, 3)',osprey
'[98 94 56 ... 98 78 69]','(128, 128, 3)',white_necked_raven
'[101  84  68 ...  74  69  65]','(128, 128, 3)',downy_woodpecker
'[249 249 251 ... 244 243 248]','(128, 128, 3)',emperor_penguin
'[137 161  47 ... 185 155 127]','(128, 128, 3)',townsends_warbler
'[108 149 171 ...  95 114  94]','(128, 128, 3)',scarlet_tanager
'[102  67  65 ... 253 253 251]','(128, 128, 3)',downy_woodpecker
'[173 130  85 ... 198 154 109]','(128, 128, 3)',vulturine_guineafowl
'[137  93 118 ... 236 250 251]','(128, 128, 3)',capped_heron
'[73 79 41 ... 36 38 25]','(128, 128, 3)',capped_heron
'[200 203 210 ... 230 231 235]','(128, 128, 3)',osprey
'[ 81 106  77 ...  31  53  32]','(128, 128, 3)',cock_of_the_rock
'[111  99  99 ... 131  97  72]','(128, 128, 3)',vulturine_guineafowl
'[181 171 169 ... 225 224 219]','(128, 128, 3)',horned_lark
'[92 91 97 ... 63 56 64]','(128, 128, 3)',white_necked_raven
'[ 98  95  44 ... 187 187 189]','(128, 128, 3)',common_loon
'[20 25 21 ... 48 50 28]','(128, 128, 3)',double_brested_cormarant
'[ 89  83  71 ... 125 124 119]','(128, 128, 3)',downy_woodpecker
'[210 209 163 ... 152 153  95]','(128, 128, 3)',scarlet_tanager
'[167 167 179 ... 132 140 119]','(128, 128, 3)',black_tail_crake
'[95 94 89 ... 84 74 47]','(128, 128, 3)',purple_finch
'[232 236 245 ... 231 233 245]','(128, 128, 3)',emperor_penguin
'[138 132  98 ...  92  98  50]','(128, 128, 3)',double_brested_cormarant
'[169 174 168 ... 124 128 103]','(128, 128, 3)',scarlet_tanager
'[179 184 187 ... 233 229 220]','(128, 128, 3)',black_tail_crake
'[ 97 100  91 ...  80 113   6]','(128, 128, 3)',townsends_warbler
'[156 188 213 ... 155 190 220]','(128, 128, 3)',double_brested_cormarant
'[ 91  87  78 ... 115  98  88]','(128, 128, 3)',downy_woodpecker
'[187 219 232 ...  76  71  75]','(128, 128, 3)',emperor_penguin
'[ 72   8   6 ... 169 180 111]','(128, 128, 3)',scarlet_tanager
'[11 11 13 ...  4 13 12]','(128, 128, 3)',cock_of_the_rock
'[170 185 226 ... 206 211 240]','(128, 128, 3)',emperor_penguin
'[121 137 134 ... 172 152 127]','(128, 128, 3)',downy_woodpecker
'[152 137 114 ... 128 107  88]','(128, 128, 3)',purple_finch
'[42 45 36 ... 57 58 44]','(128, 128, 3)',capped_heron
'[174 165 158 ... 100 105 101]','(128, 128, 3)',blue_heron
'[ 79  88  41 ... 137 176  67]','(128, 128, 3)',black_tail_crake
'[181 198 218 ... 188 170 150]','(128, 128, 3)',downy_woodpecker
'[29 43 20 ...  5  9  8]','(128, 128, 3)',capped_heron
'[ 98 104  68 ...  75  87  65]','(128, 128, 3)',cock_of_the_rock
'[105 140  50 ... 139 151  67]','(128, 128, 3)',white_necked_raven
'[ 3  9  5 ... 13 29 18]','(128, 128, 3)',blue_heron
'[108 120 100 ...  76  98  75]','(128, 128, 3)',downy_woodpecker
'[118 113 107 ... 105 119  96]','(128, 128, 3)',horned_sungem
'[141 136 107 ... 157 150 121]','(128, 128, 3)',horned_sungem
'[150 196 212 ... 152 195 214]','(128, 128, 3)',double_brested_cormarant
'[157 168  38 ... 231 232 252]','(128, 128, 3)',northern_parula
'[131 119 105 ... 157 144 128]','(128, 128, 3)',white_necked_raven
'[136 168 189 ... 138 170 209]','(128, 128, 3)',osprey
'[175 150 143 ...  62  94  27]','(128, 128, 3)',fairy_bluebird
'[186 185 191 ... 175 200 143]','(128, 128, 3)',downy_woodpecker
'[184 186 211 ... 214 212 225]','(128, 128, 3)',downy_woodpecker
'[ 66 129 164 ... 184 176 155]','(128, 128, 3)',double_brested_cormarant
'[109 121  59 ...  64  92  33]','(128, 128, 3)',black_tail_crake
'[ 24  35  29 ... 103  91  69]','(128, 128, 3)',blue_heron
'[186 187 182 ... 150 155 161]','(128, 128, 3)',emperor_penguin
'[35 61 22 ... 47 68 25]','(128, 128, 3)',cuban_tody
'[84 95 89 ... 90 73 47]','(128, 128, 3)',cock_of_the_rock
'[ 83  93  92 ... 103  98  95]','(128, 128, 3)',cuban_tody
'[ 78  81  86 ... 213 216 225]','(128, 128, 3)',downy_woodpecker
'[166 133 100 ...  89  71  61]','(128, 128, 3)',capped_heron
'[102 141 184 ... 101 138 183]','(128, 128, 3)',osprey
'[114 123 140 ... 118 119 124]','(128, 128, 3)',horned_sungem
'[123 140 158 ...  83 100 120]','(128, 128, 3)',blue_heron
'[189 195 195 ... 178 178 178]','(128, 128, 3)',emperor_penguin
'[ 64  58  46 ... 225 216 199]','(128, 128, 3)',american_redstart
'[ 87 100  93 ...  82 103 124]','(128, 128, 3)',common_loon
'[208 206 209 ... 161 214 158]','(128, 128, 3)',black_tail_crake
'[245 230 201 ... 167 151 126]','(128, 128, 3)',double_brested_cormarant
'[84 80 79 ... 75 71 72]','(128, 128, 3)',townsends_warbler
'[ 61 104  50 ...  84 132  30]','(128, 128, 3)',american_redstart
'[187 160 130 ... 183 166 136]','(128, 128, 3)',horned_lark
'[ 82  85  68 ... 119 121 100]','(128, 128, 3)',white_necked_raven
'[114 121  87 ... 139 162 146]','(128, 128, 3)',black_tail_crake
'[109 121  97 ...  96 105  88]','(128, 128, 3)',horned_sungem
'[244 244 236 ... 115 108  92]','(128, 128, 3)',scarlet_tanager
'[105 104  86 ...  34  30  29]','(128, 128, 3)',cock_of_the_rock
'[104 104  50 ... 123 123  61]','(128, 128, 3)',horned_sungem
'[107 112 105 ... 170 170 160]','(128, 128, 3)',emperor_penguin
'[110 127  73 ...  75 101  38]','(128, 128, 3)',purple_finch
'[149 171 192 ...  90  96 110]','(128, 128, 3)',common_loon
'[ 85  93  56 ... 103 108  67]','(128, 128, 3)',northern_parula
'[123 147 171 ... 130 149 166]','(128, 128, 3)',white_necked_raven
'[158 191 136 ... 162 193 126]','(128, 128, 3)',horned_sungem
'[186 182 134 ... 109 103  55]','(128, 128, 3)',horned_lark
'[172 172 180 ... 169 169 177]','(128, 128, 3)',osprey
'[109 103 105 ... 189 197 158]','(128, 128, 3)',fairy_bluebird
'[133 107  82 ... 138 109  65]','(128, 128, 3)',vulturine_guineafowl
'[203 228 235 ... 128 115 107]','(128, 128, 3)',scarlet_tanager
'[119 141  79 ...  96 111  80]','(128, 128, 3)',cock_of_the_rock
'[124 120  82 ... 114 128  75]','(128, 128, 3)',scarlet_tanager
'[180 230   7 ... 172 207  89]','(128, 128, 3)',scarlet_tanager
'[139 129  68 ... 113 101  61]','(128, 128, 3)',scarlet_tanager
'[183 183 195 ... 188 180 191]','(128, 128, 3)',horned_lark
'[ 80  76  73 ... 165 193 145]','(128, 128, 3)',scarlet_tanager
'[220 222 243 ... 195 194 200]','(128, 128, 3)',northern_parula
'[ 69  79  44 ... 145 144 140]','(128, 128, 3)',horned_lark
'[202 177 137 ... 168 132  96]','(128, 128, 3)',vulturine_guineafowl
'[124 145 128 ... 238 215 233]','(128, 128, 3)',white_necked_raven
'[112 155  83 ... 128 172  77]','(128, 128, 3)',northern_parula
'[ 54  78 106 ...  87 115  75]','(128, 128, 3)',osprey
